Gene	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_1	Sample_2	Sample_3
ENSG00000000003.14|TSPAN6	0	0	0	1	0	0	0	0	1
ENSG00000000005.5|TNMD	0	0	0	0	0	0	0	0	0
ENSG00000000419.12|DPM1	333	432	509	543	478	833	805	522	551
ENSG00000000457.13|SCYL3	47	104	236	83	165	164	131	85	17
ENSG00000000460.16|C1orf112	68	48	81	26	121	144	64	70	17
ENSG00000000938.12|FGR	8066	3438	7564	4327	12761	19223	1655	1447	9337
ENSG00000000971.15|CFH	18	0	12	9	5	18	0	11	13
ENSG00000001036.13|FUCA2	717	179	408	340	1492	1456	495	160	1170
ENSG00000001084.10|GCLC	51	39	145	55	83	149	108	126	28
ENSG00000001167.14|NFYA	87	34	276	64	75	140	129	24	156
ENSG00000001460.17|STPG1	116	101	47	28	46	14	71	12	11
ENSG00000001461.16|NIPAL3	666	663	1087	1264	641	1053	443	281	439
ENSG00000001497.16|LAS1L	769	697	1078	840	885	1618	777	842	1040
ENSG00000001561.6|ENPP4	49	130	120	67	34	134	25	48	92
ENSG00000001617.11|SEMA3F	0	5	0	0	0	0	1	0	3
ENSG00000001626.14|CFTR	0	0	0	0	0	0	0	0	0
ENSG00000001629.9|ANKIB1	117	37	129	133	152	149	25	41	90
ENSG00000001630.15|CYP51A1	107	55	100	79	67	237	108	65	184
ENSG00000001631.15|KRIT1	64	43	121	72	163	126	124	17	150
ENSG00000002016.17|RAD52	60	182	169	125	61	61	1	48	44
ENSG00000002079.14|MYH16	0	0	0	0	0	0	0	0	0
ENSG00000002330.13|BAD	1647	662	1146	1651	1782	2242	1821	1984	2541
ENSG00000002549.12|LAP3	1219	890	1800	809	3387	4980	1292	888	3369
ENSG00000002586.18|CD99	10573	9541	13954	14150	19153	22468	17885	11106	17866
ENSG00000002586.18_PAR_Y|CD99	0	0	0	0	0	0	0	0	0
ENSG00000002587.9|HS3ST1	10	109	92	72	28	132	65	2	4
ENSG00000002726.20|AOC1	0	0	0	101	2	0	0	2	1
ENSG00000002745.12|WNT16	1	43	80	21	18	43	0	0	1
ENSG00000002746.14|HECW1	0	0	0	0	0	0	0	0	0
ENSG00000002822.15|MAD1L1	2542	2580	3043	2061	2493	4015	1253	893	1331
ENSG00000002834.17|LASP1	1890	2405	3441	2738	3437	5885	1687	1408	3886
ENSG00000002919.14|SNX11	382	441	824	582	665	1195	807	565	816
ENSG00000002933.7|TMEM176A	2401	1397	75	199	4972	1285	272	418	10123
ENSG00000003056.7|M6PR	1924	1310	2539	1395	3175	5661	1118	564	1869
ENSG00000003096.14|KLHL13	0	0	0	0	13	0	30	0	0
ENSG00000003137.8|CYP26B1	0	0	0	0	0	0	0	0	0
ENSG00000003147.17|ICA1	98	83	141	33	136	102	33	2	39
